fold,score,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,special,features T-14,features T-13,features T-12,features T-11,features T-10,features T-9,features T-8,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
0,0.5749505522924494,608,same,1,"memory:None|steps:[('standardscaler', StandardScaler()), ('onevsrestclassifier', OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1))]|verbose:False|standardscaler:StandardScaler()|onevsrestclassifier:OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|onevsrestclassifier__estimator__base_estimator__C:1.0|onevsrestclassifier__estimator__base_estimator__class_weight:balanced|onevsrestclassifier__estimator__base_estimator__dual:True|onevsrestclassifier__estimator__base_estimator__fit_intercept:True|onevsrestclassifier__estimator__base_estimator__intercept_scaling:1|onevsrestclassifier__estimator__base_estimator__loss:squared_epsilon_insensitive|onevsrestclassifier__estimator__base_estimator__max_iter:1000.0|onevsrestclassifier__estimator__base_estimator__multi_class:ovr|onevsrestclassifier__estimator__base_estimator__penalty:l2|onevsrestclassifier__estimator__base_estimator__random_state:12345|onevsrestclassifier__estimator__base_estimator__tol:0.0001|onevsrestclassifier__estimator__base_estimator__verbose:0|onevsrestclassifier__estimator__base_estimator:LinearSVC(class_weight='balanced', loss='squared_epsilon_insensitive',
          max_iter=1000.0, random_state=12345)|onevsrestclassifier__estimator__cv:5|onevsrestclassifier__estimator__ensemble:True|onevsrestclassifier__estimator__method:sigmoid|onevsrestclassifier__estimator__n_jobs:None|onevsrestclassifier__estimator:CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                loss='squared_epsilon_insensitive',
                                                max_iter=1000.0,
                                                random_state=12345),
                       cv=5)|onevsrestclassifier__n_jobs:1",confidence-accuracy,Mixed,Mixed,1,0.024936953265123823,0.027189697883082006,0.02471582863958563,0.02163215249379151,0.02533179994948854,0.036248992801787075,0.07007685262159785,0.004713908128771551,0.01999061185617257,0.015776842751621323,0.014667411378912101,-0.026079127637854235,-0.04626815181977829,-0.055417592489504494
0,0.5749505522924494,608,same,1,"memory:None|steps:[('standardscaler', StandardScaler()), ('onevsrestclassifier', OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1))]|verbose:False|standardscaler:StandardScaler()|onevsrestclassifier:OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|onevsrestclassifier__estimator__base_estimator__C:1.0|onevsrestclassifier__estimator__base_estimator__class_weight:balanced|onevsrestclassifier__estimator__base_estimator__dual:True|onevsrestclassifier__estimator__base_estimator__fit_intercept:True|onevsrestclassifier__estimator__base_estimator__intercept_scaling:1|onevsrestclassifier__estimator__base_estimator__loss:squared_epsilon_insensitive|onevsrestclassifier__estimator__base_estimator__max_iter:1000.0|onevsrestclassifier__estimator__base_estimator__multi_class:ovr|onevsrestclassifier__estimator__base_estimator__penalty:l2|onevsrestclassifier__estimator__base_estimator__random_state:12345|onevsrestclassifier__estimator__base_estimator__tol:0.0001|onevsrestclassifier__estimator__base_estimator__verbose:0|onevsrestclassifier__estimator__base_estimator:LinearSVC(class_weight='balanced', loss='squared_epsilon_insensitive',
          max_iter=1000.0, random_state=12345)|onevsrestclassifier__estimator__cv:5|onevsrestclassifier__estimator__ensemble:True|onevsrestclassifier__estimator__method:sigmoid|onevsrestclassifier__estimator__n_jobs:None|onevsrestclassifier__estimator:CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                loss='squared_epsilon_insensitive',
                                                max_iter=1000.0,
                                                random_state=12345),
                       cv=5)|onevsrestclassifier__n_jobs:1",confidence-accuracy,Mixed,Mixed,2,0.022128307094068923,0.021776600325729208,0.02444206113466026,0.022373267507805883,0.02377136869480775,0.03970481303007799,0.07597757861976934,0.008076008188406404,0.017765510437663945,0.0113044225677208,0.017136505238479753,-0.021190942283574567,-0.053769347314626105,-0.05961136442480726
0,0.5749505522924494,608,same,1,"memory:None|steps:[('standardscaler', StandardScaler()), ('onevsrestclassifier', OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1))]|verbose:False|standardscaler:StandardScaler()|onevsrestclassifier:OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|onevsrestclassifier__estimator__base_estimator__C:1.0|onevsrestclassifier__estimator__base_estimator__class_weight:balanced|onevsrestclassifier__estimator__base_estimator__dual:True|onevsrestclassifier__estimator__base_estimator__fit_intercept:True|onevsrestclassifier__estimator__base_estimator__intercept_scaling:1|onevsrestclassifier__estimator__base_estimator__loss:squared_epsilon_insensitive|onevsrestclassifier__estimator__base_estimator__max_iter:1000.0|onevsrestclassifier__estimator__base_estimator__multi_class:ovr|onevsrestclassifier__estimator__base_estimator__penalty:l2|onevsrestclassifier__estimator__base_estimator__random_state:12345|onevsrestclassifier__estimator__base_estimator__tol:0.0001|onevsrestclassifier__estimator__base_estimator__verbose:0|onevsrestclassifier__estimator__base_estimator:LinearSVC(class_weight='balanced', loss='squared_epsilon_insensitive',
          max_iter=1000.0, random_state=12345)|onevsrestclassifier__estimator__cv:5|onevsrestclassifier__estimator__ensemble:True|onevsrestclassifier__estimator__method:sigmoid|onevsrestclassifier__estimator__n_jobs:None|onevsrestclassifier__estimator:CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                loss='squared_epsilon_insensitive',
                                                max_iter=1000.0,
                                                random_state=12345),
                       cv=5)|onevsrestclassifier__n_jobs:1",confidence-accuracy,Mixed,Mixed,3,0.02093577034977804,0.02349836105556112,0.025323384292630112,0.021923049896464517,0.022849644406933545,0.034689687525766205,0.07301633885637086,0.00438614315349394,0.01634673731616462,0.010969606150293566,0.013695445329883076,-0.025845596342787384,-0.0549971610285996,-0.06144869026257057
0,0.5749505522924494,608,same,1,"memory:None|steps:[('standardscaler', StandardScaler()), ('onevsrestclassifier', OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1))]|verbose:False|standardscaler:StandardScaler()|onevsrestclassifier:OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|onevsrestclassifier__estimator__base_estimator__C:1.0|onevsrestclassifier__estimator__base_estimator__class_weight:balanced|onevsrestclassifier__estimator__base_estimator__dual:True|onevsrestclassifier__estimator__base_estimator__fit_intercept:True|onevsrestclassifier__estimator__base_estimator__intercept_scaling:1|onevsrestclassifier__estimator__base_estimator__loss:squared_epsilon_insensitive|onevsrestclassifier__estimator__base_estimator__max_iter:1000.0|onevsrestclassifier__estimator__base_estimator__multi_class:ovr|onevsrestclassifier__estimator__base_estimator__penalty:l2|onevsrestclassifier__estimator__base_estimator__random_state:12345|onevsrestclassifier__estimator__base_estimator__tol:0.0001|onevsrestclassifier__estimator__base_estimator__verbose:0|onevsrestclassifier__estimator__base_estimator:LinearSVC(class_weight='balanced', loss='squared_epsilon_insensitive',
          max_iter=1000.0, random_state=12345)|onevsrestclassifier__estimator__cv:5|onevsrestclassifier__estimator__ensemble:True|onevsrestclassifier__estimator__method:sigmoid|onevsrestclassifier__estimator__n_jobs:None|onevsrestclassifier__estimator:CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                loss='squared_epsilon_insensitive',
                                                max_iter=1000.0,
                                                random_state=12345),
                       cv=5)|onevsrestclassifier__n_jobs:1",confidence-accuracy,Mixed,Mixed,4,0.020526923697102267,0.02014135756293535,0.029272460979392536,0.02080017857918001,0.02256780768807193,0.029445219483007316,0.0690260274674419,0.008782015340692088,0.016745255948890658,0.01403592197297971,0.017938922352501486,-0.02667130375971097,-0.05150759277779172,-0.06401024445068068
0,0.5749505522924494,608,same,1,"memory:None|steps:[('standardscaler', StandardScaler()), ('onevsrestclassifier', OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1))]|verbose:False|standardscaler:StandardScaler()|onevsrestclassifier:OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|onevsrestclassifier__estimator__base_estimator__C:1.0|onevsrestclassifier__estimator__base_estimator__class_weight:balanced|onevsrestclassifier__estimator__base_estimator__dual:True|onevsrestclassifier__estimator__base_estimator__fit_intercept:True|onevsrestclassifier__estimator__base_estimator__intercept_scaling:1|onevsrestclassifier__estimator__base_estimator__loss:squared_epsilon_insensitive|onevsrestclassifier__estimator__base_estimator__max_iter:1000.0|onevsrestclassifier__estimator__base_estimator__multi_class:ovr|onevsrestclassifier__estimator__base_estimator__penalty:l2|onevsrestclassifier__estimator__base_estimator__random_state:12345|onevsrestclassifier__estimator__base_estimator__tol:0.0001|onevsrestclassifier__estimator__base_estimator__verbose:0|onevsrestclassifier__estimator__base_estimator:LinearSVC(class_weight='balanced', loss='squared_epsilon_insensitive',
          max_iter=1000.0, random_state=12345)|onevsrestclassifier__estimator__cv:5|onevsrestclassifier__estimator__ensemble:True|onevsrestclassifier__estimator__method:sigmoid|onevsrestclassifier__estimator__n_jobs:None|onevsrestclassifier__estimator:CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                loss='squared_epsilon_insensitive',
                                                max_iter=1000.0,
                                                random_state=12345),
                       cv=5)|onevsrestclassifier__n_jobs:1",confidence-accuracy,Mixed,Mixed,5,0.01670679811998829,0.01522707021708319,0.027740229118667036,0.016296407379539687,0.019941632889675057,0.03091271303736887,0.07366277487753181,0.004944034056911589,0.01653289440161972,0.012216865457005009,0.02140723067034272,-0.027752153771122,-0.04759425860426737,-0.06243556598612173
1,0.5743947341061572,831,same,2,"memory:None|steps:[('standardscaler', StandardScaler()), ('onevsrestclassifier', OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1))]|verbose:False|standardscaler:StandardScaler()|onevsrestclassifier:OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|onevsrestclassifier__estimator__base_estimator__C:1.0|onevsrestclassifier__estimator__base_estimator__class_weight:balanced|onevsrestclassifier__estimator__base_estimator__dual:True|onevsrestclassifier__estimator__base_estimator__fit_intercept:True|onevsrestclassifier__estimator__base_estimator__intercept_scaling:1|onevsrestclassifier__estimator__base_estimator__loss:squared_epsilon_insensitive|onevsrestclassifier__estimator__base_estimator__max_iter:1000.0|onevsrestclassifier__estimator__base_estimator__multi_class:ovr|onevsrestclassifier__estimator__base_estimator__penalty:l2|onevsrestclassifier__estimator__base_estimator__random_state:12345|onevsrestclassifier__estimator__base_estimator__tol:0.0001|onevsrestclassifier__estimator__base_estimator__verbose:0|onevsrestclassifier__estimator__base_estimator:LinearSVC(class_weight='balanced', loss='squared_epsilon_insensitive',
          max_iter=1000.0, random_state=12345)|onevsrestclassifier__estimator__cv:5|onevsrestclassifier__estimator__ensemble:True|onevsrestclassifier__estimator__method:sigmoid|onevsrestclassifier__estimator__n_jobs:None|onevsrestclassifier__estimator:CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                loss='squared_epsilon_insensitive',
                                                max_iter=1000.0,
                                                random_state=12345),
                       cv=5)|onevsrestclassifier__n_jobs:1",confidence-accuracy,Mixed,Mixed,1,0.025345547487548782,0.02771604732894243,0.02446836334787816,0.022503628474493536,0.025926798087134682,0.03704331913931103,0.07068459464450488,0.004839661707910229,0.020652471899351512,0.01615125015756913,0.013251436519171132,-0.02561312476298212,-0.046691366553059326,-0.055074314513653695
1,0.5743947341061572,831,same,2,"memory:None|steps:[('standardscaler', StandardScaler()), ('onevsrestclassifier', OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1))]|verbose:False|standardscaler:StandardScaler()|onevsrestclassifier:OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|onevsrestclassifier__estimator__base_estimator__C:1.0|onevsrestclassifier__estimator__base_estimator__class_weight:balanced|onevsrestclassifier__estimator__base_estimator__dual:True|onevsrestclassifier__estimator__base_estimator__fit_intercept:True|onevsrestclassifier__estimator__base_estimator__intercept_scaling:1|onevsrestclassifier__estimator__base_estimator__loss:squared_epsilon_insensitive|onevsrestclassifier__estimator__base_estimator__max_iter:1000.0|onevsrestclassifier__estimator__base_estimator__multi_class:ovr|onevsrestclassifier__estimator__base_estimator__penalty:l2|onevsrestclassifier__estimator__base_estimator__random_state:12345|onevsrestclassifier__estimator__base_estimator__tol:0.0001|onevsrestclassifier__estimator__base_estimator__verbose:0|onevsrestclassifier__estimator__base_estimator:LinearSVC(class_weight='balanced', loss='squared_epsilon_insensitive',
          max_iter=1000.0, random_state=12345)|onevsrestclassifier__estimator__cv:5|onevsrestclassifier__estimator__ensemble:True|onevsrestclassifier__estimator__method:sigmoid|onevsrestclassifier__estimator__n_jobs:None|onevsrestclassifier__estimator:CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                loss='squared_epsilon_insensitive',
                                                max_iter=1000.0,
                                                random_state=12345),
                       cv=5)|onevsrestclassifier__n_jobs:1",confidence-accuracy,Mixed,Mixed,2,0.018870571399604404,0.02171588024052548,0.02414611850898924,0.021697397085490778,0.02386595753383039,0.039375259879053284,0.07822493435561242,0.006681255201065574,0.016855632169643427,0.012139355270588768,0.022189366258957958,-0.025562066214231464,-0.05264286305415746,-0.06247830994564619
1,0.5743947341061572,831,same,2,"memory:None|steps:[('standardscaler', StandardScaler()), ('onevsrestclassifier', OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1))]|verbose:False|standardscaler:StandardScaler()|onevsrestclassifier:OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|onevsrestclassifier__estimator__base_estimator__C:1.0|onevsrestclassifier__estimator__base_estimator__class_weight:balanced|onevsrestclassifier__estimator__base_estimator__dual:True|onevsrestclassifier__estimator__base_estimator__fit_intercept:True|onevsrestclassifier__estimator__base_estimator__intercept_scaling:1|onevsrestclassifier__estimator__base_estimator__loss:squared_epsilon_insensitive|onevsrestclassifier__estimator__base_estimator__max_iter:1000.0|onevsrestclassifier__estimator__base_estimator__multi_class:ovr|onevsrestclassifier__estimator__base_estimator__penalty:l2|onevsrestclassifier__estimator__base_estimator__random_state:12345|onevsrestclassifier__estimator__base_estimator__tol:0.0001|onevsrestclassifier__estimator__base_estimator__verbose:0|onevsrestclassifier__estimator__base_estimator:LinearSVC(class_weight='balanced', loss='squared_epsilon_insensitive',
          max_iter=1000.0, random_state=12345)|onevsrestclassifier__estimator__cv:5|onevsrestclassifier__estimator__ensemble:True|onevsrestclassifier__estimator__method:sigmoid|onevsrestclassifier__estimator__n_jobs:None|onevsrestclassifier__estimator:CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                loss='squared_epsilon_insensitive',
                                                max_iter=1000.0,
                                                random_state=12345),
                       cv=5)|onevsrestclassifier__n_jobs:1",confidence-accuracy,Mixed,Mixed,3,0.016713792388871627,0.022232913888087957,0.02401653548781211,0.021019500013590448,0.021258744033959602,0.03247430937112835,0.07179056632316694,0.002171518128930451,0.01658650911328872,0.012018547300786116,0.015767739018308698,-0.03236197440552328,-0.0531423317863124,-0.06219761358202172
1,0.5743947341061572,831,same,2,"memory:None|steps:[('standardscaler', StandardScaler()), ('onevsrestclassifier', OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1))]|verbose:False|standardscaler:StandardScaler()|onevsrestclassifier:OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|onevsrestclassifier__estimator__base_estimator__C:1.0|onevsrestclassifier__estimator__base_estimator__class_weight:balanced|onevsrestclassifier__estimator__base_estimator__dual:True|onevsrestclassifier__estimator__base_estimator__fit_intercept:True|onevsrestclassifier__estimator__base_estimator__intercept_scaling:1|onevsrestclassifier__estimator__base_estimator__loss:squared_epsilon_insensitive|onevsrestclassifier__estimator__base_estimator__max_iter:1000.0|onevsrestclassifier__estimator__base_estimator__multi_class:ovr|onevsrestclassifier__estimator__base_estimator__penalty:l2|onevsrestclassifier__estimator__base_estimator__random_state:12345|onevsrestclassifier__estimator__base_estimator__tol:0.0001|onevsrestclassifier__estimator__base_estimator__verbose:0|onevsrestclassifier__estimator__base_estimator:LinearSVC(class_weight='balanced', loss='squared_epsilon_insensitive',
          max_iter=1000.0, random_state=12345)|onevsrestclassifier__estimator__cv:5|onevsrestclassifier__estimator__ensemble:True|onevsrestclassifier__estimator__method:sigmoid|onevsrestclassifier__estimator__n_jobs:None|onevsrestclassifier__estimator:CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                loss='squared_epsilon_insensitive',
                                                max_iter=1000.0,
                                                random_state=12345),
                       cv=5)|onevsrestclassifier__n_jobs:1",confidence-accuracy,Mixed,Mixed,4,0.016287744174961996,0.018432762486613363,0.027034645655637207,0.019168598292336726,0.020804781673694563,0.027864578493760454,0.07020087632089836,0.007489861519580942,0.017230999488818583,0.016324458793837517,0.02177447539689592,-0.031071331079925043,-0.048680410324757936,-0.0647997439544043
1,0.5743947341061572,831,same,2,"memory:None|steps:[('standardscaler', StandardScaler()), ('onevsrestclassifier', OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1))]|verbose:False|standardscaler:StandardScaler()|onevsrestclassifier:OneVsRestClassifier(estimator=CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                                              loss='squared_epsilon_insensitive',
                                                                              max_iter=1000.0,
                                                                              random_state=12345),
                                                     cv=5),
                    n_jobs=1)|standardscaler__copy:True|standardscaler__with_mean:True|standardscaler__with_std:True|onevsrestclassifier__estimator__base_estimator__C:1.0|onevsrestclassifier__estimator__base_estimator__class_weight:balanced|onevsrestclassifier__estimator__base_estimator__dual:True|onevsrestclassifier__estimator__base_estimator__fit_intercept:True|onevsrestclassifier__estimator__base_estimator__intercept_scaling:1|onevsrestclassifier__estimator__base_estimator__loss:squared_epsilon_insensitive|onevsrestclassifier__estimator__base_estimator__max_iter:1000.0|onevsrestclassifier__estimator__base_estimator__multi_class:ovr|onevsrestclassifier__estimator__base_estimator__penalty:l2|onevsrestclassifier__estimator__base_estimator__random_state:12345|onevsrestclassifier__estimator__base_estimator__tol:0.0001|onevsrestclassifier__estimator__base_estimator__verbose:0|onevsrestclassifier__estimator__base_estimator:LinearSVC(class_weight='balanced', loss='squared_epsilon_insensitive',
          max_iter=1000.0, random_state=12345)|onevsrestclassifier__estimator__cv:5|onevsrestclassifier__estimator__ensemble:True|onevsrestclassifier__estimator__method:sigmoid|onevsrestclassifier__estimator__n_jobs:None|onevsrestclassifier__estimator:CalibratedClassifierCV(base_estimator=LinearSVC(class_weight='balanced',
                                                loss='squared_epsilon_insensitive',
                                                max_iter=1000.0,
                                                random_state=12345),
                       cv=5)|onevsrestclassifier__n_jobs:1",confidence-accuracy,Mixed,Mixed,5,0.013188224985890902,0.014523693892153149,0.026713818462113573,0.015242149411085757,0.01966523049171153,0.030130175794366332,0.07421709415393048,0.0026707591281429407,0.016257961757185874,0.013131653359405027,0.024605194277812274,-0.03329283028506441,-0.04616611025003294,-0.06395073152548687
